return_id,order_item_id,order_id,user_id,product_id,product_name,category,subcategory,brand,region,order_timestamp,return_request_date,return_date,return_quantity,return_reason,return_status,refund_method,refund_amount
RET0000008,OI00000075,ORD0000037,U00887,P025,Lakme Foundation,Beauty,Makeup,Lakme,Ahmedabad,2025-12-25 17:18:00,2025-12-30 17:18:00,2026-01-03 17:18:00,1,Product damaged,approved,original_payment_method,462.0
RET0000020,OI00000183,ORD0000087,U00761,P045,Puma Running Shoes Size 10,Sports,Shoes,Puma,Mumbai,2025-12-30 19:18:00,2026-01-01 19:18:00,2026-01-03 19:18:00,1,Changed mind,approved,store_credit,6410.0
RET0000012,OI00000132,ORD0000064,U00183,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,2025-12-27 21:24:00,2025-12-30 21:24:00,2026-01-03 21:24:00,1,Changed mind,approved,store_credit,325.0
RET0000003,OI00000013,ORD0000007,U00641,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,2025-12-22 14:34:00,2025-12-25 14:34:00,2026-01-04 14:34:00,1,Changed mind,approved,original_payment_method,1812.0
RET0000015,OI00000150,ORD0000072,U00704,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Chennai,2025-12-28 19:33:00,2025-12-29 19:33:00,2026-01-04 19:33:00,1,Changed mind,approved,store_credit,1130.0
RET0000023,OI00000203,ORD0000096,U00224,P107,Zara Black Polyester T-Shirt,Clothing,T-Shirts,Zara,Mumbai,2026-01-01 09:36:00,2026-01-03 09:36:00,2026-01-06 09:36:00,1,Changed mind,approved,original_payment_method,616.0
RET0000014,OI00000145,ORD0000069,U00705,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Ahmedabad,2025-12-28 16:59:00,2025-12-29 16:59:00,2026-01-06 16:59:00,1,Size issue,pending,store_credit,0.0
RET0000010,OI00000103,ORD0000050,U00739,P061,H&M Black Polyester Shirt,Clothing,Shirts,H&M,Ahmedabad,2025-12-26 21:35:00,2026-01-03 21:35:00,2026-01-06 21:35:00,1,Product quality issue,approved,original_payment_method,1694.0
RET0000027,OI00000232,ORD0000111,U00363,P169,Nike Sneakers Size 10,Sports,Shoes,Nike,Kolkata,2026-01-03 09:31:00,2026-01-05 09:31:00,2026-01-07 09:31:00,1,Changed mind,approved,original_payment_method,1381.0
RET0000025,OI00000207,ORD0000098,U00142,P025,Lakme Foundation,Beauty,Makeup,Lakme,Bengaluru,2026-01-01 15:18:00,2026-01-02 15:18:00,2026-01-07 15:18:00,1,Product damaged,approved,original_payment_method,462.0
RET0000017,OI00000164,ORD0000078,U00196,P111,Zara Blue Cotton Jacket,Clothing,Jackets,Zara,Ahmedabad,2025-12-29 18:25:00,2025-12-31 18:25:00,2026-01-07 18:25:00,1,Color mismatch,approved,original_payment_method,4201.0
RET0000013,OI00000133,ORD0000064,U00183,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,Delhi,2025-12-27 21:24:00,2025-12-29 21:24:00,2026-01-07 21:24:00,1,Skin irritation,approved,original_payment_method,1751.0
RET0000028,OI00000239,ORD0000115,U00333,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,Kolkata,2026-01-03 15:17:00,2026-01-05 15:17:00,2026-01-08 15:17:00,1,Product quality issue,rejected,original_payment_method,0.0
RET0000016,OI00000163,ORD0000078,U00196,P193,H&M Red Cotton Jeans,Clothing,Jeans,H&M,Ahmedabad,2025-12-29 18:25:00,2026-01-06 18:25:00,2026-01-08 18:25:00,1,Product quality issue,pending,original_payment_method,0.0
RET0000019,OI00000180,ORD0000086,U00251,P089,Apple Macbook Air 16GB RAM 256GB SSD,Electronics,Laptop,Apple,Hyderabad,2025-12-30 18:27:00,2026-01-01 18:27:00,2026-01-09 18:27:00,1,Defective item,approved,original_payment_method,88750.0
RET0000030,OI00000269,ORD0000134,U00253,P056,Lakme Shampoo,Beauty,Haircare,Lakme,Bengaluru,2026-01-05 09:13:00,2026-01-07 09:13:00,2026-01-10 09:13:00,1,Changed mind,approved,original_payment_method,952.0
RET0000022,OI00000202,ORD0000096,U00224,P078,Zara Red Polyester Jeans,Clothing,Jeans,Zara,Mumbai,2026-01-01 09:36:00,2026-01-08 09:36:00,2026-01-12 09:36:00,1,Fabric not as expected,approved,original_payment_method,2265.0
RET0000032,OI00000331,ORD0000164,U00007,P070,H&M Black Cotton T-Shirt,Clothing,T-Shirts,H&M,Kolkata,2026-01-09 10:44:00,2026-01-10 10:44:00,2026-01-12 10:44:00,1,Changed mind,approved,original_payment_method,1277.0
RET0000021,OI00000188,ORD0000090,U00348,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,Mumbai,2025-12-30 21:39:00,2026-01-08 21:39:00,2026-01-13 21:39:00,1,Fabric not as expected,pending,original_payment_method,0.0
RET0000037,OI00000375,ORD0000188,U00204,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,Pune,2026-01-11 10:57:00,2026-01-12 10:57:00,2026-01-14 10:57:00,1,Wrong size,approved,original_payment_method,4232.0
RET0000031,OI00000287,ORD0000143,U00743,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,Delhi,2026-01-06 16:23:00,2026-01-11 16:23:00,2026-01-14 16:23:00,1,Skin irritation,approved,store_credit,1859.0
RET0000026,OI00000219,ORD0000105,U00376,P066,Puma Running Shoes Size 7,Sports,Shoes,Puma,Kolkata,2026-01-02 16:51:00,2026-01-08 16:51:00,2026-01-14 16:51:00,1,Packaging damaged,approved,store_credit,6273.0
RET0000033,OI00000332,ORD0000164,U00007,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,Kolkata,2026-01-09 10:44:00,2026-01-12 10:44:00,2026-01-16 10:44:00,1,Product quality issue,approved,original_payment_method,1174.0
RET0000029,OI00000250,ORD0000122,U00042,P050,H&M Green Cotton Jeans,Clothing,Jeans,H&M,Mumbai,2026-01-03 22:05:00,2026-01-12 22:05:00,2026-01-16 22:05:00,1,Color mismatch,approved,original_payment_method,2713.0
RET0000036,OI00000371,ORD0000186,U00820,P169,Nike Sneakers Size 10,Sports,Shoes,Nike,Bengaluru,2026-01-11 10:09:00,2026-01-13 10:09:00,2026-01-17 10:09:00,1,Size issue,approved,original_payment_method,1381.0
RET0000035,OI00000360,ORD0000181,U00164,P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,Zara,Hyderabad,2026-01-10 20:13:00,2026-01-12 20:13:00,2026-01-17 20:13:00,1,Changed mind,approved,original_payment_method,349.0
RET0000039,OI00000403,ORD0000202,U00761,P003,Nivea Shampoo,Beauty,Haircare,Nivea,Bengaluru,2026-01-12 14:21:00,2026-01-16 14:21:00,2026-01-19 14:21:00,1,Skin irritation,approved,original_payment_method,201.0
RET0000040,OI00000443,ORD0000221,U00488,P025,Lakme Foundation,Beauty,Makeup,Lakme,Ahmedabad,2026-01-14 22:30:00,2026-01-16 22:30:00,2026-01-19 22:30:00,1,Changed mind,approved,original_payment_method,462.0
RET0000044,OI00000502,ORD0000255,U00677,P012,Nivea Foundation,Beauty,Makeup,Nivea,Ahmedabad,2026-01-19 08:35:00,2026-01-20 08:35:00,2026-01-20 08:35:00,1,Changed mind,approved,original_payment_method,2237.0
RET0000038,OI00000402,ORD0000201,U00450,P104,OnePlus Galaxy S21 128GB Black,Electronics,Smartphone,OnePlus,Bengaluru,2026-01-12 13:14:00,2026-01-19 13:14:00,2026-01-21 13:14:00,1,Damaged in transit,approved,original_payment_method,20198.0
RET0000034,OI00000337,ORD0000166,U00426,P071,Nike Sneakers Size 8,Sports,Shoes,Nike,Hyderabad,2026-01-09 12:50:00,2026-01-19 12:50:00,2026-01-22 12:50:00,1,Packaging damaged,approved,wallet_refund,4895.0
RET0000041,OI00000465,ORD0000234,U00808,P009,Nivea Lipstick,Beauty,Makeup,Nivea,Kolkata,2026-01-16 15:36:00,2026-01-18 15:36:00,2026-01-22 15:36:00,1,Product damaged,approved,original_payment_method,2838.0
RET0000047,OI00000510,ORD0000258,U00586,P027,Zara Black Cotton Shirt,Clothing,Shirts,Zara,Kolkata,2026-01-19 16:59:00,2026-01-21 16:59:00,2026-01-22 16:59:00,1,Product quality issue,approved,original_payment_method,836.0
RET0000050,OI00000543,ORD0000275,U00076,P141,Samsung i13 64GB Red,Electronics,Smartphone,Samsung,Hyderabad,2026-01-20 21:27:00,2026-01-21 21:27:00,2026-01-22 21:27:00,1,Damaged in transit,approved,wallet_refund,57174.0
RET0000046,OI00000509,ORD0000258,U00586,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,Kolkata,2026-01-19 16:59:00,2026-01-22 16:59:00,2026-01-23 16:59:00,1,Color mismatch,pending,store_credit,0.0
RET0000045,OI00000503,ORD0000255,U00677,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Ahmedabad,2026-01-19 08:35:00,2026-01-22 08:35:00,2026-01-24 08:35:00,1,Changed mind,approved,original_payment_method,325.0
RET0000048,OI00000519,ORD0000263,U00368,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Ahmedabad,2026-01-19 22:04:00,2026-01-25 22:04:00,2026-01-26 22:04:00,1,Product damaged,approved,original_payment_method,1130.0
RET0000055,OI00000624,ORD0000317,U00862,P153,UrbanCo Wooden Sofa Large,Home,Furniture,UrbanCo,Mumbai,2026-01-25 13:19:00,2026-01-26 13:19:00,2026-01-27 13:19:00,1,Changed mind,rejected,original_payment_method,0.0
RET0000043,OI00000479,ORD0000244,U00390,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,Bengaluru,2026-01-18 13:58:00,2026-01-19 13:58:00,2026-01-29 13:58:00,1,Color mismatch,approved,original_payment_method,2713.0
RET0000059,OI00000676,ORD0000347,U00506,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,Delhi,2026-01-29 08:21:00,2026-01-30 08:21:00,2026-01-31 08:21:00,1,Fabric not as expected,approved,original_payment_method,2480.0
RET0000042,OI00000478,ORD0000243,U00756,P079,Boat Charger,Electronics,Accessories,Boat,Mumbai,2026-01-18 13:12:00,2026-01-26 13:12:00,2026-02-01 13:12:00,1,Defective item,approved,original_payment_method,379.0
RET0000062,OI00000715,ORD0000364,U00027,P082,H&M Green Denim Jacket,Clothing,Jackets,H&M,Ahmedabad,2026-01-31 15:37:00,2026-02-01 15:37:00,2026-02-01 15:37:00,1,Fabric not as expected,rejected,original_payment_method,0.0
RET0000057,OI00000651,ORD0000333,U00638,P188,Adidas Sneakers Size 8,Sports,Shoes,Adidas,Mumbai,2026-01-26 16:18:00,2026-01-31 16:18:00,2026-02-01 16:18:00,1,Changed mind,approved,original_payment_method,7253.0
RET0000054,OI00000604,ORD0000307,U00147,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Ahmedabad,2026-01-23 21:49:00,2026-01-29 21:49:00,2026-02-01 21:49:00,1,Skin irritation,pending,original_payment_method,0.0
RET0000049,OI00000524,ORD0000266,U00899,P007,Lakme Hair Oil,Beauty,Haircare,Lakme,Delhi,2026-01-20 08:53:00,2026-01-31 08:53:00,2026-02-02 08:53:00,1,Product damaged,approved,original_payment_method,1471.0
RET0000052,OI00000581,ORD0000294,U00311,P056,Lakme Shampoo,Beauty,Haircare,Lakme,Delhi,2026-01-22 17:52:00,2026-01-29 17:52:00,2026-02-04 17:52:00,1,Product damaged,pending,original_payment_method,0.0
RET0000053,OI00000600,ORD0000305,U00801,P140,Zara Red Denim T-Shirt,Clothing,T-Shirts,Zara,Pune,2026-01-23 18:20:00,2026-01-31 18:20:00,2026-02-04 18:20:00,1,Changed mind,approved,original_payment_method,914.0
RET0000051,OI00000567,ORD0000287,U00199,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,Chennai,2026-01-21 21:57:00,2026-01-23 21:57:00,2026-02-04 21:57:00,1,Changed mind,pending,original_payment_method,0.0
RET0000069,OI00000772,ORD0000392,U00323,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,Ahmedabad,2026-02-03 08:40:00,2026-02-04 08:40:00,2026-02-05 08:40:00,1,Wrong shade,approved,original_payment_method,1859.0
RET0000072,OI00000796,ORD0000404,U00688,P120,Zara Black Polyester Jacket,Clothing,Jackets,Zara,Ahmedabad,2026-02-05 09:19:00,2026-02-06 09:19:00,2026-02-06 09:19:00,1,Size issue,approved,store_credit,6542.0
RET0000063,OI00000740,ORD0000376,U00289,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Hyderabad,2026-02-01 19:19:00,2026-02-03 19:19:00,2026-02-06 19:19:00,1,Skin irritation,pending,store_credit,0.0
RET0000078,OI00000821,ORD0000417,U00690,P041,H&M Green Cotton Jacket,Clothing,Jackets,H&M,Delhi,2026-02-05 23:02:00,2026-02-06 23:02:00,2026-02-06 23:02:00,1,Color mismatch,approved,original_payment_method,7336.0
RET0000058,OI00000668,ORD0000343,U00878,P017,Lakme Face Wash,Beauty,Skincare,Lakme,Mumbai,2026-01-28 13:09:00,2026-02-05 13:09:00,2026-02-07 13:09:00,1,Product damaged,approved,original_payment_method,1574.0
RET0000056,OI00000632,ORD0000322,U00594,P001,Samsung Charger,Electronics,Accessories,Samsung,Ahmedabad,2026-01-25 16:52:00,2026-01-26 16:52:00,2026-02-07 16:52:00,1,Damaged in transit,approved,original_payment_method,1356.0
RET0000064,OI00000745,ORD0000378,U00847,P009,Nivea Lipstick,Beauty,Makeup,Nivea,Mumbai,2026-02-01 20:31:00,2026-02-03 20:31:00,2026-02-07 20:31:00,1,Wrong shade,approved,original_payment_method,2838.0
RET0000083,OI00000846,ORD0000428,U00168,P003,Nivea Shampoo,Beauty,Haircare,Nivea,Kolkata,2026-02-07 08:09:00,2026-02-08 08:09:00,2026-02-08 08:09:00,1,Wrong shade,approved,original_payment_method,201.0
RET0000061,OI00000699,ORD0000358,U00225,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Bengaluru,2026-01-30 17:42:00,2026-02-01 17:42:00,2026-02-08 17:42:00,1,Assembly issue,approved,original_payment_method,1607.0
RET0000068,OI00000771,ORD0000392,U00323,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,Ahmedabad,2026-02-03 08:40:00,2026-02-07 08:40:00,2026-02-10 08:40:00,1,Skin irritation,approved,wallet_refund,877.0
RET0000088,OI00000893,ORD0000451,U00741,P053,Puma Dumbbells,Sports,Equipment,Puma,Kolkata,2026-02-08 10:48:00,2026-02-09 10:48:00,2026-02-10 10:48:00,1,Size issue,approved,original_payment_method,14598.0
RET0000073,OI00000800,ORD0000406,U00475,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,Ahmedabad,2026-02-05 11:17:00,2026-02-08 11:17:00,2026-02-10 11:17:00,1,Changed mind,approved,original_payment_method,4766.0
RET0000074,OI00000806,ORD0000408,U00505,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,Ahmedabad,2026-02-05 14:13:00,2026-02-07 14:13:00,2026-02-10 14:13:00,1,Changed mind,approved,wallet_refund,877.0
RET0000089,OI00000906,ORD0000459,U00160,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,Chennai,2026-02-09 10:22:00,2026-02-10 10:22:00,2026-02-11 10:22:00,1,Product damaged,approved,store_credit,877.0
RET0000067,OI00000766,ORD0000390,U00019,P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,H&M,Bengaluru,2026-02-02 19:05:00,2026-02-06 19:05:00,2026-02-11 19:05:00,1,Product quality issue,approved,store_credit,1070.0
RET0000070,OI00000792,ORD0000402,U00383,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,Mumbai,2026-02-04 21:57:00,2026-02-07 21:57:00,2026-02-11 21:57:00,1,Product damaged,approved,original_payment_method,877.0
RET0000060,OI00000696,ORD0000356,U00297,P017,Lakme Face Wash,Beauty,Skincare,Lakme,Delhi,2026-01-30 14:22:00,2026-02-03 14:22:00,2026-02-12 14:22:00,1,Changed mind,rejected,store_credit,0.0
RET0000080,OI00000831,ORD0000421,U00899,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,Delhi,2026-02-06 11:57:00,2026-02-11 11:57:00,2026-02-13 11:57:00,1,Skin irritation,approved,original_payment_method,1859.0
RET0000092,OI00000928,ORD0000474,U00632,P057,H&M Blue Denim Jeans,Clothing,Jeans,H&M,Chennai,2026-02-11 17:15:00,2026-02-12 17:15:00,2026-02-13 17:15:00,1,Size issue,approved,original_payment_method,1555.0
RET0000079,OI00000822,ORD0000417,U00690,P172,H&M Green Polyester Shirt,Clothing,Shirts,H&M,Delhi,2026-02-05 23:02:00,2026-02-11 23:02:00,2026-02-13 23:02:00,1,Changed mind,approved,original_payment_method,2109.0
RET0000082,OI00000845,ORD0000428,U00168,P017,Lakme Face Wash,Beauty,Skincare,Lakme,Kolkata,2026-02-07 08:09:00,2026-02-12 08:09:00,2026-02-14 08:09:00,1,Changed mind,approved,original_payment_method,1574.0
RET0000066,OI00000763,ORD0000388,U00705,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Ahmedabad,2026-02-02 18:21:00,2026-02-09 18:21:00,2026-02-14 18:21:00,1,Skin irritation,approved,original_payment_method,325.0
RET0000077,OI00000816,ORD0000415,U00036,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,Hyderabad,2026-02-05 21:43:00,2026-02-09 21:43:00,2026-02-14 21:43:00,1,Changed mind,approved,original_payment_method,1751.0
RET0000095,OI00000973,ORD0000498,U00260,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,Hyderabad,2026-02-14 14:33:00,2026-02-15 14:33:00,2026-02-15 14:33:00,1,Product damaged,approved,wallet_refund,877.0
RET0000085,OI00000886,ORD0000448,U00710,P097,Zara Blue Polyester Jacket,Clothing,Jackets,Zara,Pune,2026-02-07 22:57:00,2026-02-11 22:57:00,2026-02-15 22:57:00,1,Size issue,approved,store_credit,5366.0
RET0000096,OI00000975,ORD0000498,U00260,P009,Nivea Lipstick,Beauty,Makeup,Nivea,Hyderabad,2026-02-14 14:33:00,2026-02-15 14:33:00,2026-02-16 14:33:00,1,Wrong shade,approved,original_payment_method,2838.0
RET0000065,OI00000759,ORD0000386,U00078,P021,H&M Red Polyester T-Shirt,Clothing,T-Shirts,H&M,Mumbai,2026-02-02 16:41:00,2026-02-03 16:41:00,2026-02-16 16:41:00,1,Color mismatch,approved,store_credit,370.0
RET0000097,OI00000981,ORD0000503,U00793,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Kolkata,2026-02-14 17:27:00,2026-02-15 17:27:00,2026-02-16 17:27:00,1,Product damaged,approved,original_payment_method,1130.0
RET0000075,OI00000810,ORD0000411,U00012,P071,Nike Sneakers Size 8,Sports,Shoes,Nike,Hyderabad,2026-02-05 19:33:00,2026-02-10 19:33:00,2026-02-16 19:33:00,1,Size issue,approved,original_payment_method,4895.0
RET0000081,OI00000836,ORD0000424,U00737,P068,Puma Sports T-Shirt,Sports,Activewear,Puma,Chennai,2026-02-06 16:14:00,2026-02-13 16:14:00,2026-02-18 16:14:00,1,Build quality issue,approved,original_payment_method,648.0
RET0000093,OI00000941,ORD0000480,U00853,P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,H&M,Pune,2026-02-12 18:06:00,2026-02-14 18:06:00,2026-02-18 18:06:00,1,Changed mind,approved,original_payment_method,1070.0
RET0000071,OI00000794,ORD0000403,U00287,P150,Adidas Track Pants,Sports,Activewear,Adidas,Delhi,2026-02-04 22:07:00,2026-02-06 22:07:00,2026-02-18 22:07:00,1,Size issue,approved,original_payment_method,2331.0
RET0000084,OI00000885,ORD0000448,U00710,P101,H&M Blue Cotton T-Shirt,Clothing,T-Shirts,H&M,Pune,2026-02-07 22:57:00,2026-02-12 22:57:00,2026-02-18 22:57:00,2,Fabric not as expected,approved,original_payment_method,2906.0
RET0000108,OI00001049,ORD0000539,U00211,P007,Lakme Hair Oil,Beauty,Haircare,Lakme,Hyderabad,2026-02-17 16:18:00,2026-02-18 16:18:00,2026-02-19 16:18:00,1,Product damaged,approved,wallet_refund,1471.0
RET0000104,OI00001012,ORD0000518,U00343,P120,Zara Black Polyester Jacket,Clothing,Jackets,Zara,Bengaluru,2026-02-15 16:26:00,2026-02-16 16:26:00,2026-02-19 16:26:00,1,Fabric not as expected,pending,original_payment_method,0.0
RET0000091,OI00000914,ORD0000465,U00339,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,Pune,2026-02-10 18:35:00,2026-02-17 18:35:00,2026-02-19 18:35:00,1,Product damaged,approved,original_payment_method,1751.0
RET0000076,OI00000813,ORD0000412,U00881,P180,Zara White Denim T-Shirt,Clothing,T-Shirts,Zara,Chennai,2026-02-05 19:38:00,2026-02-08 19:38:00,2026-02-19 19:38:00,1,Product quality issue,approved,original_payment_method,1446.0
RET0000109,OI00001050,ORD0000539,U00211,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,Hyderabad,2026-02-17 16:18:00,2026-02-19 16:18:00,2026-02-20 16:18:00,1,Product damaged,approved,original_payment_method,1859.0
RET0000090,OI00000910,ORD0000462,U00464,P056,Lakme Shampoo,Beauty,Haircare,Lakme,Chennai,2026-02-09 20:21:00,2026-02-12 20:21:00,2026-02-20 20:21:00,1,Product damaged,approved,original_payment_method,952.0
RET0000099,OI00000994,ORD0000508,U00334,P136,Zara Red Cotton Shirt,Clothing,Shirts,Zara,Delhi,2026-02-14 22:59:00,2026-02-16 22:59:00,2026-02-20 22:59:00,1,Product quality issue,approved,original_payment_method,1369.0
RET0000100,OI00000995,ORD0000508,U00334,P082,H&M Green Denim Jacket,Clothing,Jackets,H&M,Delhi,2026-02-14 22:59:00,2026-02-15 22:59:00,2026-02-20 22:59:00,1,Product quality issue,approved,store_credit,3964.0
RET0000087,OI00000891,ORD0000450,U00320,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,Ahmedabad,2026-02-08 10:31:00,2026-02-18 10:31:00,2026-02-21 10:31:00,1,Color mismatch,approved,original_payment_method,2480.0
RET0000111,OI00001066,ORD0000547,U00611,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,Pune,2026-02-18 11:43:00,2026-02-20 11:43:00,2026-02-21 11:43:00,1,Skin irritation,approved,wallet_refund,1859.0
RET0000105,OI00001022,ORD0000524,U00547,P162,Zara Black Denim Jeans,Clothing,Jeans,Zara,Bengaluru,2026-02-15 19:16:00,2026-02-19 19:16:00,2026-02-21 19:16:00,1,Changed mind,approved,store_credit,3231.0
RET0000094,OI00000960,ORD0000491,U00415,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Bengaluru,2026-02-13 20:17:00,2026-02-20 20:17:00,2026-02-21 20:17:00,1,Fabric not as expected,approved,original_payment_method,6565.0
RET0000115,OI00001096,ORD0000563,U00578,P025,Lakme Foundation,Beauty,Makeup,Lakme,Bengaluru,2026-02-19 20:22:00,2026-02-20 20:22:00,2026-02-21 20:22:00,1,Product damaged,approved,original_payment_method,462.0
RET0000086,OI00000887,ORD0000449,U00813,P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,Zara,Chennai,2026-02-08 08:22:00,2026-02-10 08:22:00,2026-02-22 08:22:00,1,Product quality issue,approved,original_payment_method,349.0
RET0000118,OI00001126,ORD0000576,U00604,P021,H&M Red Polyester T-Shirt,Clothing,T-Shirts,H&M,Bengaluru,2026-02-21 12:21:00,2026-02-22 12:21:00,2026-02-22 12:21:00,1,Changed mind,approved,original_payment_method,370.0
RET0000125,OI00001156,ORD0000591,U00474,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,Bengaluru,2026-02-22 15:21:00,2026-02-23 15:21:00,2026-02-24 15:21:00,1,Fabric not as expected,approved,original_payment_method,2480.0
RET0000116,OI00001105,ORD0000567,U00322,P097,Zara Blue Polyester Jacket,Clothing,Jackets,Zara,Hyderabad,2026-02-20 11:08:00,2026-02-21 11:08:00,2026-02-25 11:08:00,1,Product quality issue,approved,original_payment_method,5366.0
RET0000119,OI00001136,ORD0000580,U00480,P056,Lakme Shampoo,Beauty,Haircare,Lakme,Hyderabad,2026-02-21 19:26:00,2026-02-23 19:26:00,2026-02-25 19:26:00,1,Skin irritation,approved,original_payment_method,952.0
RET0000113,OI00001091,ORD0000561,U00751,P193,H&M Red Cotton Jeans,Clothing,Jeans,H&M,Ahmedabad,2026-02-19 19:48:00,2026-02-20 19:48:00,2026-02-25 19:48:00,1,Changed mind,approved,original_payment_method,1646.0
RET0000126,OI00001162,ORD0000595,U00675,P165,UrbanCo Metal Sofa Large,Home,Furniture,UrbanCo,Hyderabad,2026-02-23 08:27:00,2026-02-25 08:27:00,2026-02-26 08:27:00,1,Assembly issue,approved,original_payment_method,6328.0
RET0000106,OI00001031,ORD0000530,U00382,P132,Adidas Running Shoes Size 7,Sports,Shoes,Adidas,Kolkata,2026-02-16 10:22:00,2026-02-19 10:22:00,2026-02-26 10:22:00,1,Changed mind,approved,original_payment_method,3001.0
RET0000112,OI00001089,ORD0000559,U00875,P017,Lakme Face Wash,Beauty,Skincare,Lakme,Bengaluru,2026-02-19 17:04:00,2026-02-25 17:04:00,2026-02-26 17:04:00,1,Changed mind,approved,original_payment_method,1574.0
