event_id,session_id,user_id,event_type,event_timestamp,event_step,product_id,product_name,category,subcategory,brand,region,device_type,traffic_source,page_type,search_keyword,event_date
EVT0000049,S000048,U00675,checkout_abandon,22-12-2025 13:26,6,P033,UrbanCo Plastic Dining Table Small,Home,Furniture,UrbanCo,Hyderabad,desktop,social,checkout,,22-12-2025
EVT0000050,S000042,U00819,visit,22-12-2025 13:50,1,P002,Nike Yoga Mat,Sports,Equipment,Nike,Ahmedabad,desktop,organic_search,landing_page,,22-12-2025
EVT0000051,S000042,U00819,search,22-12-2025 13:51,2,P002,Nike Yoga Mat,Sports,Equipment,Nike,Ahmedabad,desktop,organic_search,search_results,yoga mat,22-12-2025
EVT0000052,S000042,U00819,view,22-12-2025 13:51,3,P002,Nike Yoga Mat,Sports,Equipment,Nike,Ahmedabad,desktop,organic_search,product_page,,22-12-2025
EVT0000053,S000042,U00819,view,22-12-2025 13:53,4,P054,Adidas Yoga Mat,Sports,Equipment,Adidas,Ahmedabad,desktop,organic_search,product_page,,22-12-2025
EVT0000054,S000042,U00819,add_to_cart,22-12-2025 13:54,5,P002,Nike Yoga Mat,Sports,Equipment,Nike,Ahmedabad,desktop,organic_search,cart,,22-12-2025
EVT0000055,S000042,U00819,checkout_start,22-12-2025 13:55,6,P002,Nike Yoga Mat,Sports,Equipment,Nike,Ahmedabad,desktop,organic_search,checkout,,22-12-2025
EVT0000056,S000042,U00819,purchase,22-12-2025 13:55,7,P002,Nike Yoga Mat,Sports,Equipment,Nike,Ahmedabad,desktop,organic_search,confirmation,,22-12-2025
EVT0000057,S000016,U00459,visit,22-12-2025 14:14,1,P178,UrbanCo Metal Sofa Small,Home,Furniture,UrbanCo,Delhi,desktop,referral,landing_page,,22-12-2025
EVT0000058,S000016,U00459,view,22-12-2025 14:14,2,P178,UrbanCo Metal Sofa Small,Home,Furniture,UrbanCo,Delhi,desktop,referral,product_page,,22-12-2025
EVT0000059,S000016,U00459,add_to_cart,22-12-2025 14:16,3,P178,UrbanCo Metal Sofa Small,Home,Furniture,UrbanCo,Delhi,desktop,referral,cart,,22-12-2025
EVT0000060,S000016,U00459,checkout_start,22-12-2025 14:17,4,P178,UrbanCo Metal Sofa Small,Home,Furniture,UrbanCo,Delhi,desktop,referral,checkout,,22-12-2025
EVT0000061,S000016,U00459,checkout_abandon,22-12-2025 14:19,5,P178,UrbanCo Metal Sofa Small,Home,Furniture,UrbanCo,Delhi,desktop,referral,checkout,,22-12-2025
EVT0000062,S000026,U00513,visit,22-12-2025 14:22,1,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,Delhi,desktop,email,landing_page,,22-12-2025
EVT0000063,S000026,U00513,view,22-12-2025 14:23,2,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,Delhi,desktop,email,product_page,,22-12-2025
EVT0000064,S000057,U00574,visit,22-12-2025 14:24,1,P127,UrbanCo Metal Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,landing_page,,22-12-2025
EVT0000065,S000027,U00641,visit,22-12-2025 14:25,1,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,desktop,referral,landing_page,,22-12-2025
EVT0000066,S000057,U00574,search,22-12-2025 14:25,2,P127,UrbanCo Metal Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,search_results,sofa set,22-12-2025
EVT0000067,S000026,U00513,add_to_cart,22-12-2025 14:26,3,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,Delhi,desktop,email,cart,,22-12-2025
EVT0000068,S000027,U00641,search,22-12-2025 14:26,2,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,desktop,referral,search_results,blue jeans,22-12-2025
EVT0000069,S000057,U00574,view,22-12-2025 14:27,3,P127,UrbanCo Metal Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,product_page,,22-12-2025
EVT0000070,S000026,U00513,checkout_start,22-12-2025 14:27,4,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,Delhi,desktop,email,checkout,,22-12-2025
EVT0000071,S000026,U00513,purchase,22-12-2025 14:27,5,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,Delhi,desktop,email,confirmation,,22-12-2025
EVT0000072,S000057,U00574,view,22-12-2025 14:28,4,P116,UrbanCo Plastic Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,product_page,,22-12-2025
EVT0000073,S000027,U00641,view,22-12-2025 14:29,3,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,desktop,referral,product_page,,22-12-2025
EVT0000074,S000031,U00228,visit,22-12-2025 14:29,1,P153,UrbanCo Wooden Sofa Large,Home,Furniture,UrbanCo,Kolkata,mobile,organic_search,landing_page,,22-12-2025
EVT0000075,S000027,U00641,view,22-12-2025 14:30,4,P103,Zara Red Cotton Jacket,Clothing,Jackets,Zara,Kolkata,desktop,referral,product_page,,22-12-2025
EVT0000076,S000057,U00574,add_to_cart,22-12-2025 14:30,5,P127,UrbanCo Metal Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,cart,,22-12-2025
EVT0000077,S000031,U00228,search,22-12-2025 14:31,2,P153,UrbanCo Wooden Sofa Large,Home,Furniture,UrbanCo,Kolkata,mobile,organic_search,search_results,wooden chair,22-12-2025
EVT0000078,S000057,U00574,checkout_start,22-12-2025 14:31,6,P127,UrbanCo Metal Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,checkout,,22-12-2025
EVT0000079,S000027,U00641,add_to_cart,22-12-2025 14:31,5,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,desktop,referral,cart,,22-12-2025
EVT0000080,S000057,U00574,checkout_abandon,22-12-2025 14:32,7,P127,UrbanCo Metal Chair Medium,Home,Furniture,UrbanCo,Pune,desktop,direct,checkout,,22-12-2025
EVT0000081,S000031,U00228,view,22-12-2025 14:33,3,P153,UrbanCo Wooden Sofa Large,Home,Furniture,UrbanCo,Kolkata,mobile,organic_search,product_page,,22-12-2025
EVT0000082,S000027,U00641,checkout_start,22-12-2025 14:33,6,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,desktop,referral,checkout,,22-12-2025
EVT0000083,S000027,U00641,purchase,22-12-2025 14:34,7,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,Kolkata,desktop,referral,confirmation,,22-12-2025
EVT0000084,S000055,U00837,visit,22-12-2025 14:39,1,P132,Adidas Running Shoes Size 7,Sports,Shoes,Adidas,Bengaluru,mobile,social,landing_page,,22-12-2025
EVT0000085,S000055,U00837,view,22-12-2025 14:40,2,P132,Adidas Running Shoes Size 7,Sports,Shoes,Adidas,Bengaluru,mobile,social,product_page,,22-12-2025
EVT0000086,S000034,U00332,visit,22-12-2025 14:41,1,P177,Puma Sneakers Size 9,Sports,Shoes,Puma,Bengaluru,mobile,paid_ads,landing_page,,22-12-2025
EVT0000087,S000055,U00837,add_to_cart,22-12-2025 14:42,3,P132,Adidas Running Shoes Size 7,Sports,Shoes,Adidas,Bengaluru,mobile,social,cart,,22-12-2025
EVT0000088,S000034,U00332,view,22-12-2025 14:43,2,P177,Puma Sneakers Size 9,Sports,Shoes,Puma,Bengaluru,mobile,paid_ads,product_page,,22-12-2025
EVT0000089,S000055,U00837,checkout_start,22-12-2025 14:43,4,P132,Adidas Running Shoes Size 7,Sports,Shoes,Adidas,Bengaluru,mobile,social,checkout,,22-12-2025
EVT0000090,S000034,U00332,add_to_cart,22-12-2025 14:44,3,P177,Puma Sneakers Size 9,Sports,Shoes,Puma,Bengaluru,mobile,paid_ads,cart,,22-12-2025
EVT0000091,S000034,U00332,checkout_start,22-12-2025 14:44,4,P177,Puma Sneakers Size 9,Sports,Shoes,Puma,Bengaluru,mobile,paid_ads,checkout,,22-12-2025
EVT0000092,S000034,U00332,purchase,22-12-2025 14:45,5,P177,Puma Sneakers Size 9,Sports,Shoes,Puma,Bengaluru,mobile,paid_ads,confirmation,,22-12-2025
EVT0000093,S000055,U00837,checkout_abandon,22-12-2025 14:45,5,P132,Adidas Running Shoes Size 7,Sports,Shoes,Adidas,Bengaluru,mobile,social,checkout,,22-12-2025
EVT0000094,S000043,U00339,visit,22-12-2025 14:50,1,P191,H&M White Cotton Shirt,Clothing,Shirts,H&M,Ahmedabad,mobile,paid_ads,landing_page,,22-12-2025
EVT0000095,S000043,U00339,search,22-12-2025 14:51,2,P191,H&M White Cotton Shirt,Clothing,Shirts,H&M,Ahmedabad,mobile,paid_ads,search_results,winter jacket,22-12-2025
EVT0000096,S000003,U00016,visit,22-12-2025 14:53,1,P017,Lakme Face Wash,Beauty,Skincare,Lakme,Pune,mobile,direct,landing_page,,22-12-2025
EVT0000097,S000043,U00339,view,22-12-2025 14:54,3,P191,H&M White Cotton Shirt,Clothing,Shirts,H&M,Ahmedabad,mobile,paid_ads,product_page,,22-12-2025
EVT0000098,S000003,U00016,view,22-12-2025 14:54,2,P017,Lakme Face Wash,Beauty,Skincare,Lakme,Pune,mobile,direct,product_page,,22-12-2025
EVT0000099,S000003,U00016,view,22-12-2025 14:56,3,P003,Nivea Shampoo,Beauty,Haircare,Nivea,Pune,mobile,direct,product_page,,22-12-2025
EVT0000100,S000049,U00527,visit,22-12-2025 14:57,1,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,Ahmedabad,mobile,paid_ads,landing_page,,22-12-2025
EVT0000101,S000049,U00527,search,22-12-2025 14:57,2,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,Ahmedabad,mobile,paid_ads,search_results,sofa set,22-12-2025
EVT0000102,S000049,U00527,view,22-12-2025 14:58,3,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,Ahmedabad,mobile,paid_ads,product_page,,22-12-2025
EVT0000103,S000049,U00527,view,22-12-2025 14:58,4,P006,UrbanCo Lamp,Home,Decor,UrbanCo,Ahmedabad,mobile,paid_ads,product_page,,22-12-2025
EVT0000104,S000049,U00527,add_to_cart,22-12-2025 14:59,5,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,Ahmedabad,mobile,paid_ads,cart,,22-12-2025
EVT0000105,S000049,U00527,checkout_start,22-12-2025 15:00,6,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,Ahmedabad,mobile,paid_ads,checkout,,22-12-2025
EVT0000106,S000049,U00527,checkout_abandon,22-12-2025 15:01,7,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,Ahmedabad,mobile,paid_ads,checkout,,22-12-2025
EVT0000107,S000020,U00157,visit,22-12-2025 15:08,1,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Hyderabad,mobile,direct,landing_page,,22-12-2025
EVT0000108,S000020,U00157,search,22-12-2025 15:08,2,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Hyderabad,mobile,direct,search_results,graphic t-shirt,22-12-2025
EVT0000109,S000020,U00157,view,22-12-2025 15:10,3,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Hyderabad,mobile,direct,product_page,,22-12-2025
EVT0000110,S000038,U00038,visit,22-12-2025 15:11,1,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,Mumbai,desktop,paid_ads,landing_page,,22-12-2025
EVT0000111,S000013,U00752,visit,22-12-2025 15:12,1,P010,Samsung Phone Case,Electronics,Accessories,Samsung,Kolkata,mobile,email,landing_page,,22-12-2025
EVT0000112,S000020,U00157,view,22-12-2025 15:12,4,P106,H&M Green Polyester T-Shirt,Clothing,T-Shirts,H&M,Hyderabad,mobile,direct,product_page,,22-12-2025
EVT0000113,S000020,U00157,add_to_cart,22-12-2025 15:13,5,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Hyderabad,mobile,direct,cart,,22-12-2025
EVT0000114,S000038,U00038,view,22-12-2025 15:14,2,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,Mumbai,desktop,paid_ads,product_page,,22-12-2025
EVT0000115,S000038,U00038,add_to_cart,22-12-2025 15:15,3,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,Mumbai,desktop,paid_ads,cart,,22-12-2025
EVT0000116,S000013,U00752,view,22-12-2025 15:15,2,P010,Samsung Phone Case,Electronics,Accessories,Samsung,Kolkata,mobile,email,product_page,,22-12-2025
EVT0000117,S000020,U00157,checkout_start,22-12-2025 15:15,6,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Hyderabad,mobile,direct,checkout,,22-12-2025
EVT0000118,S000020,U00157,checkout_abandon,22-12-2025 15:16,7,P062,H&M Green Polyester Jacket,Clothing,Jackets,H&M,Hyderabad,mobile,direct,checkout,,22-12-2025
EVT0000119,S000038,U00038,checkout_start,22-12-2025 15:16,4,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,Mumbai,desktop,paid_ads,checkout,,22-12-2025
EVT0000120,S000013,U00752,add_to_cart,22-12-2025 15:16,3,P010,Samsung Phone Case,Electronics,Accessories,Samsung,Kolkata,mobile,email,cart,,22-12-2025
EVT0000121,S000013,U00752,checkout_start,22-12-2025 15:18,4,P010,Samsung Phone Case,Electronics,Accessories,Samsung,Kolkata,mobile,email,checkout,,22-12-2025
EVT0000122,S000038,U00038,purchase,22-12-2025 15:18,5,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,Mumbai,desktop,paid_ads,confirmation,,22-12-2025
EVT0000123,S000013,U00752,checkout_abandon,22-12-2025 15:20,5,P010,Samsung Phone Case,Electronics,Accessories,Samsung,Kolkata,mobile,email,checkout,,22-12-2025
EVT0000124,S000004,U00482,visit,22-12-2025 15:28,1,P186,OnePlus 15 128GB Black,Electronics,Smartphone,OnePlus,Kolkata,desktop,social,landing_page,,22-12-2025
EVT0000125,S000004,U00482,view,22-12-2025 15:28,2,P186,OnePlus 15 128GB Black,Electronics,Smartphone,OnePlus,Kolkata,desktop,social,product_page,,22-12-2025
EVT0000126,S000004,U00482,view,22-12-2025 15:29,3,P080,Boat Phone Case,Electronics,Accessories,Boat,Kolkata,desktop,social,product_page,,22-12-2025
EVT0000127,S000052,U00116,visit,22-12-2025 15:45,1,P133,H&M Green Polyester Jeans,Clothing,Jeans,H&M,Pune,mobile,organic_search,landing_page,,22-12-2025
EVT0000128,S000052,U00116,search,22-12-2025 15:46,2,P133,H&M Green Polyester Jeans,Clothing,Jeans,H&M,Pune,mobile,organic_search,search_results,winter jacket,22-12-2025
EVT0000129,S000012,U00073,visit,22-12-2025 15:47,1,P079,Boat Charger,Electronics,Accessories,Boat,Pune,tablet,paid_ads,landing_page,,22-12-2025
EVT0000130,S000012,U00073,search,22-12-2025 15:49,2,P079,Boat Charger,Electronics,Accessories,Boat,Pune,tablet,paid_ads,search_results,best smartphone,22-12-2025
EVT0000131,S000052,U00116,view,22-12-2025 15:49,3,P133,H&M Green Polyester Jeans,Clothing,Jeans,H&M,Pune,mobile,organic_search,product_page,,22-12-2025
EVT0000132,S000012,U00073,view,22-12-2025 15:50,3,P079,Boat Charger,Electronics,Accessories,Boat,Pune,tablet,paid_ads,product_page,,22-12-2025
EVT0000133,S000045,U00120,visit,22-12-2025 15:53,1,P027,Zara Black Cotton Shirt,Clothing,Shirts,Zara,Chennai,mobile,direct,landing_page,,22-12-2025
EVT0000134,S000045,U00120,search,22-12-2025 15:54,2,P027,Zara Black Cotton Shirt,Clothing,Shirts,Zara,Chennai,mobile,direct,search_results,blue jeans,22-12-2025
EVT0000135,S000045,U00120,view,22-12-2025 15:55,3,P027,Zara Black Cotton Shirt,Clothing,Shirts,Zara,Chennai,mobile,direct,product_page,,22-12-2025
EVT0000136,S000022,U00196,visit,22-12-2025 16:09,1,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,Ahmedabad,tablet,organic_search,landing_page,,22-12-2025
EVT0000137,S000022,U00196,search,22-12-2025 16:10,2,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,Ahmedabad,tablet,organic_search,search_results,blue jeans,22-12-2025
EVT0000138,S000022,U00196,view,22-12-2025 16:12,3,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,Ahmedabad,tablet,organic_search,product_page,,22-12-2025
EVT0000139,S000022,U00196,view,22-12-2025 16:13,4,P035,Zara Red Denim Shirt,Clothing,Shirts,Zara,Ahmedabad,tablet,organic_search,product_page,,22-12-2025
EVT0000140,S000054,U00686,visit,22-12-2025 16:19,1,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,Hyderabad,tablet,social,landing_page,,22-12-2025
EVT0000141,S000054,U00686,search,22-12-2025 16:19,2,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,Hyderabad,tablet,social,search_results,graphic t-shirt,22-12-2025
EVT0000142,S000054,U00686,view,22-12-2025 16:21,3,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,Hyderabad,tablet,social,product_page,,22-12-2025
EVT0000143,S000054,U00686,add_to_cart,22-12-2025 16:22,4,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,Hyderabad,tablet,social,cart,,22-12-2025
EVT0000144,S000054,U00686,checkout_start,22-12-2025 16:23,5,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,Hyderabad,tablet,social,checkout,,22-12-2025
EVT0000145,S000054,U00686,purchase,22-12-2025 16:23,6,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,Hyderabad,tablet,social,confirmation,,22-12-2025
EVT0000146,S000021,U00493,visit,22-12-2025 16:43,1,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Hyderabad,mobile,paid_ads,landing_page,,22-12-2025
EVT0000147,S000021,U00493,view,22-12-2025 16:44,2,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Hyderabad,mobile,paid_ads,product_page,,22-12-2025
EVT0000148,S000021,U00493,add_to_cart,22-12-2025 16:47,3,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Hyderabad,mobile,paid_ads,cart,,22-12-2025
EVT0000149,S000021,U00493,checkout_start,22-12-2025 16:48,4,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Hyderabad,mobile,paid_ads,checkout,,22-12-2025
EVT0000150,S000021,U00493,checkout_abandon,22-12-2025 16:49,5,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,Hyderabad,mobile,paid_ads,checkout,,22-12-2025
EVT0000151,S000009,U00557,visit,22-12-2025 16:52,1,P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,Zara,Mumbai,desktop,direct,landing_page,,22-12-2025
EVT0000152,S000009,U00557,view,22-12-2025 16:54,2,P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,Zara,Mumbai,desktop,direct,product_page,,22-12-2025
EVT0000153,S000009,U00557,view,22-12-2025 16:57,3,P100,Zara Green Cotton Shirt,Clothing,Shirts,Zara,Mumbai,desktop,direct,product_page,,22-12-2025
EVT0000154,S000009,U00557,add_to_cart,22-12-2025 16:58,4,P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,Zara,Mumbai,desktop,direct,cart,,22-12-2025
