order_id,purchase_event_id,session_id,user_id,order_timestamp,order_date,region,device_type,traffic_source,primary_product_id,primary_product_name,primary_category,primary_subcategory,basket_items_count,total_units,subtotal,discount_rate,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,order_status,estimated_cost,estimated_profit
ORD0000020,EVT0000354,S000059,U00713,23-12-2025 16:06,23-12-2025,Pune,mobile,organic_search,P100,Zara Green Cotton Shirt,Clothing,Shirts,3,3,7074,0.06,424.44,56.39,1196.92,7902.87,Credit Card,completed,4666.85,3236.02
ORD0000021,EVT0000369,S000096,U00452,23-12-2025 16:17,23-12-2025,Bengaluru,desktop,direct,P119,Lakme Moisturizer,Beauty,Skincare,3,3,3090,0.03,92.7,73.82,539.51,3610.63,UPI,completed,2203.58,1407.05
ORD0000022,EVT0000402,S000064,U00819,23-12-2025 17:33,23-12-2025,Ahmedabad,desktop,referral,P194,Zara Blue Polyester Jeans,Clothing,Jeans,2,3,6779,0,0,102.94,1220.22,8102.16,Net Banking,completed,3984.59,4117.57
ORD0000023,EVT0000409,S000068,U00013,23-12-2025 18:08,23-12-2025,Hyderabad,mobile,paid_ads,P007,Lakme Hair Oil,Beauty,Haircare,2,2,2601,0.1,260.1,50.95,421.36,2813.21,Wallet,completed,1541.76,1271.45
ORD0000024,EVT0000429,S000084,U00497,23-12-2025 19:44,23-12-2025,Mumbai,mobile,organic_search,P063,UrbanCo Metal Chair Large,Home,Furniture,3,3,32247,0.05,1612.35,0,5514.24,36148.89,UPI,completed,20283.78,15865.11
ORD0000025,EVT0000454,S000075,U00065,23-12-2025 20:11,23-12-2025,Chennai,desktop,referral,P001,Samsung Charger,Electronics,Accessories,2,2,5473,0,0,122.19,985.14,6580.33,Net Banking,completed,2832.15,3748.18
ORD0000026,EVT0000464,S000109,U00260,23-12-2025 21:17,23-12-2025,Mumbai,mobile,organic_search,P193,H&M Red Cotton Jeans,Clothing,Jeans,3,4,6499,0.08,519.92,73.9,1076.23,7129.21,UPI,completed,4424.17,2705.04
ORD0000027,EVT0000486,S000098,U00412,23-12-2025 22:23,23-12-2025,Delhi,mobile,direct,P115,Nike Sports T-Shirt,Sports,Activewear,1,1,2606,0.05,130.3,124.53,445.63,3045.86,Debit Card,completed,2068.53,977.33
ORD0000028,EVT0000540,S000143,U00504,24-12-2025 12:09,24-12-2025,Bengaluru,tablet,email,P004,UrbanCo Mixer,Home,Kitchen,2,2,24095,0.14,3373.3,0,3729.91,24451.61,Debit Card,completed,12257.38,12194.23
ORD0000029,EVT0000577,S000118,U00323,24-12-2025 16:28,24-12-2025,Ahmedabad,mobile,organic_search,P056,Lakme Shampoo,Beauty,Haircare,2,2,1153,0,0,71.47,207.54,1432.01,UPI,completed,883.19,548.82
ORD0000030,EVT0000603,S000145,U00539,24-12-2025 19:52,24-12-2025,Bengaluru,mobile,organic_search,P161,Apple Air 32GB RAM 512GB SSD,Electronics,Laptop,1,1,83250,0.02,1665,0,14685.3,96270.3,Debit Card,completed,60380.96,35889.34
ORD0000031,EVT0000625,S000141,U00621,24-12-2025 21:07,24-12-2025,Delhi,desktop,direct,P126,UrbanCo Wooden Sofa Medium,Home,Furniture,1,1,5133,0.05,256.65,112.11,877.74,5866.2,UPI,completed,3630,2236.2
ORD0000032,EVT0000633,S000144,U00366,24-12-2025 21:19,24-12-2025,Ahmedabad,mobile,organic_search,P020,Puma Yoga Mat,Sports,Equipment,3,4,20606,0.05,1030.3,0,3523.63,23099.33,UPI,completed,15015.75,8083.58
ORD0000033,EVT0000671,S000161,U00449,25-12-2025 10:49,25-12-2025,Mumbai,tablet,paid_ads,P143,OnePlus G1 256GB Red,Electronics,Smartphone,1,1,15113,0.15,2266.95,62.23,2312.29,15220.57,Wallet,completed,11133.69,4086.88
ORD0000034,EVT0000685,S000197,U00118,25-12-2025 12:16,25-12-2025,Chennai,mobile,paid_ads,P003,Nivea Shampoo,Beauty,Haircare,2,2,3039,0.1,303.9,129.75,492.32,3357.17,UPI,completed,1876.34,1480.83
ORD0000035,EVT0000695,S000160,U00179,25-12-2025 13:26,25-12-2025,Delhi,mobile,organic_search,P003,Nivea Shampoo,Beauty,Haircare,1,1,201,0.03,6.03,84.43,35.09,314.49,UPI,completed,138.91,175.58
ORD0000036,EVT0000740,S000163,U00425,25-12-2025 17:04,25-12-2025,Pune,mobile,organic_search,P144,UrbanCo Plastic Chair Small,Home,Furniture,3,3,16024,0.08,1281.92,78.37,2653.57,17474.02,UPI,completed,10978.29,6495.73
ORD0000037,EVT0000746,S000175,U00887,25-12-2025 17:18,25-12-2025,Ahmedabad,mobile,paid_ads,P025,Lakme Foundation,Beauty,Makeup,2,2,2699,0.05,134.95,73.87,461.53,3099.45,UPI,completed,1777.87,1321.58
ORD0000038,EVT0000762,S000178,U00328,25-12-2025 18:23,25-12-2025,Bengaluru,desktop,direct,P008,Sony Bluetooth Headphones,Electronics,Headphones,2,2,91311,0.02,1826.22,0,16107.26,105592.04,UPI,completed,49441.19,56150.85
ORD0000039,EVT0000781,S000193,U00337,25-12-2025 18:47,25-12-2025,Kolkata,mobile,organic_search,P174,Zara Green Polyester T-Shirt,Clothing,T-Shirts,1,1,724,0,0,93.31,130.32,947.63,Wallet,completed,442.66,504.97
ORD0000040,EVT0000870,S000152,U00461,25-12-2025 22:21,25-12-2025,Kolkata,mobile,referral,P038,Adidas Running Shoes Size 9,Sports,Shoes,2,2,2795,0.05,139.75,132.6,477.94,3265.79,COD,completed,1822.05,1443.74
ORD0000041,EVT0000884,S000177,U00094,25-12-2025 22:48,25-12-2025,Chennai,mobile,organic_search,P155,Adidas Sports T-Shirt,Sports,Activewear,3,4,8907,0.06,534.42,58.25,1507.06,9937.89,Wallet,completed,6438.07,3499.82
ORD0000042,EVT0000905,S000202,U00314,26-12-2025 09:36,26-12-2025,Delhi,mobile,organic_search,P025,Lakme Foundation,Beauty,Makeup,3,4,6802,0.06,408.12,50.41,1150.9,7595.19,Debit Card,completed,4476.06,3119.13
ORD0000043,EVT0000912,S000233,U00276,26-12-2025 09:51,26-12-2025,Hyderabad,desktop,paid_ads,P179,Zara Black Polyester Shirt,Clothing,Shirts,3,4,6563,0.08,525.04,62.17,1086.83,7186.96,Credit Card,completed,3741.59,3445.37
ORD0000044,EVT0000937,S000256,U00430,26-12-2025 10:40,26-12-2025,Pune,desktop,direct,P015,Nike Dumbbells,Sports,Equipment,2,3,7422,0.03,222.66,99.29,1295.88,8594.51,Net Banking,completed,4273.53,4320.98
ORD0000045,EVT0000953,S000225,U00007,26-12-2025 11:42,26-12-2025,Kolkata,mobile,email,P119,Lakme Moisturizer,Beauty,Skincare,1,1,1751,0.12,210.12,57.01,277.36,1875.25,UPI,completed,1221.69,653.56
ORD0000046,EVT0000975,S000219,U00836,26-12-2025 12:27,26-12-2025,Kolkata,desktop,organic_search,P183,Nike Sneakers Size 9,Sports,Shoes,2,2,6772,0,0,89.38,1218.96,8080.34,Wallet,completed,4050.42,4029.92
ORD0000047,EVT0001039,S000220,U00674,26-12-2025 18:06,26-12-2025,Pune,mobile,email,P197,Puma Sneakers Size 8,Sports,Shoes,2,2,10698,0.12,1283.76,52.97,1694.56,11161.77,UPI,completed,5627.08,5534.69
ORD0000048,EVT0001041,S000235,U00600,26-12-2025 18:09,26-12-2025,Hyderabad,mobile,social,P130,Apple G21 128GB Black,Electronics,Smartphone,1,1,67400,0.12,8088,0,10676.16,69988.16,Credit Card,completed,44893.31,25094.85
ORD0000049,EVT0001077,S000255,U00168,26-12-2025 19:47,26-12-2025,Kolkata,mobile,organic_search,P025,Lakme Foundation,Beauty,Makeup,3,3,4558,0.08,364.64,64.82,754.8,5012.98,Credit Card,completed,3091.41,1921.57
ORD0000050,EVT0001102,S000226,U00739,26-12-2025 21:35,26-12-2025,Ahmedabad,desktop,paid_ads,P198,Zara Black Polyester Jeans,Clothing,Jeans,3,3,4395,0.08,351.6,41.93,727.81,4813.14,UPI,completed,2732.08,2081.06
ORD0000051,EVT0001123,S000248,U00438,26-12-2025 22:50,26-12-2025,Ahmedabad,desktop,organic_search,P057,H&M Blue Denim Jeans,Clothing,Jeans,2,2,7238,0,0,136.93,1302.84,8677.77,Credit Card,completed,4622.04,4055.73
ORD0000052,EVT0001130,S000234,U00515,26-12-2025 23:00,26-12-2025,Ahmedabad,mobile,organic_search,P159,Puma Sneakers Size 10,Sports,Shoes,1,1,4766,0.05,238.3,119.35,814.99,5462.04,Debit Card,completed,3653.9,1808.14
ORD0000053,EVT0001136,S000270,U00515,27-12-2025 08:19,27-12-2025,Chennai,mobile,social,P038,Adidas Running Shoes Size 9,Sports,Shoes,3,3,13779,0.03,413.37,65.71,2405.81,15837.15,Debit Card,completed,9383.52,6453.63
ORD0000054,EVT0001159,S000294,U00669,27-12-2025 09:43,27-12-2025,Delhi,mobile,organic_search,P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,3,3,6302,0.08,504.16,61.13,1043.61,6902.58,UPI,completed,4465.62,2436.96
ORD0000055,EVT0001192,S000274,U00560,27-12-2025 12:41,27-12-2025,Chennai,desktop,direct,P170,H&M Green Cotton Shirt,Clothing,Shirts,2,2,6127,0,0,117.75,1102.86,7347.61,Net Banking,completed,3238.29,4109.32
ORD0000056,EVT0001212,S000293,U00850,27-12-2025 15:16,27-12-2025,Kolkata,mobile,organic_search,P073,Zara Black Denim Shirt,Clothing,Shirts,2,2,4057,0,0,58.23,730.26,4845.49,UPI,completed,2332.63,2512.86
ORD0000057,EVT0001220,S000304,U00219,27-12-2025 15:24,27-12-2025,Mumbai,tablet,direct,P006,UrbanCo Lamp,Home,Decor,1,1,2790,0,0,82.36,502.2,3374.56,UPI,completed,2050.92,1323.64
ORD0000058,EVT0001230,S000301,U00636,27-12-2025 15:44,27-12-2025,Delhi,mobile,organic_search,P040,Samsung Power Bank,Electronics,Accessories,3,3,132580,0.1,13258,0,21477.96,140799.96,Debit Card,completed,75331.54,65468.42
ORD0000059,EVT0001239,S000309,U00665,27-12-2025 16:19,27-12-2025,Kolkata,mobile,direct,P041,H&M Green Cotton Jacket,Clothing,Jackets,2,3,12302,0.05,615.1,139.39,2103.64,13929.93,Credit Card,completed,7469.81,6460.12
ORD0000060,EVT0001251,S000297,U00794,27-12-2025 17:02,27-12-2025,Pune,desktop,direct,P026,UrbanCo Wall Art,Home,Decor,3,3,53214,0.05,2660.7,0,9099.59,59652.89,Credit Card,completed,35126.74,24526.15
ORD0000061,EVT0001277,S000308,U00193,27-12-2025 19:06,27-12-2025,Pune,desktop,organic_search,P061,H&M Black Polyester Shirt,Clothing,Shirts,1,1,1694,0.03,50.82,138.9,295.77,2077.85,Net Banking,completed,1052.33,1025.52
ORD0000062,EVT0001299,S000261,U00417,27-12-2025 20:42,27-12-2025,Mumbai,mobile,organic_search,P040,Samsung Power Bank,Electronics,Accessories,3,3,130664,0.1,13066.4,0,21167.57,138765.17,UPI,completed,81596.6,57168.57
ORD0000063,EVT0001318,S000292,U00716,27-12-2025 21:13,27-12-2025,Ahmedabad,desktop,organic_search,P055,Sony Wireless Earbuds,Electronics,Headphones,1,1,3070,0.05,153.5,137.41,524.97,3578.88,Credit Card,completed,1852.7,1726.18
ORD0000064,EVT0001327,S000286,U00183,27-12-2025 21:24,27-12-2025,Delhi,desktop,organic_search,P034,Lakme Lipstick,Beauty,Makeup,2,2,2076,0,0,135.46,373.68,2585.14,COD,completed,1408.53,1176.61
ORD0000065,EVT0001367,S000319,U00356,28-12-2025 08:07,28-12-2025,Chennai,mobile,direct,P165,UrbanCo Metal Sofa Large,Home,Furniture,3,3,31666,0.05,1583.3,0,5414.89,35497.59,Debit Card,completed,19670.89,15826.7
ORD0000066,EVT0001405,S000326,U00135,28-12-2025 10:59,28-12-2025,Kolkata,mobile,direct,P146,H&M Blue Polyester Shirt,Clothing,Shirts,2,2,3187,0.05,159.35,130.07,544.98,3702.7,UPI,completed,2267.26,1435.44
ORD0000067,EVT0001468,S000351,U00684,28-12-2025 15:36,28-12-2025,Ahmedabad,mobile,direct,P114,JBL Wireless Earbuds,Electronics,Headphones,3,3,99864,0.05,4993.2,0,17076.74,111947.54,Net Banking,completed,73089.69,38857.85
ORD0000068,EVT0001474,S000334,U00218,28-12-2025 16:06,28-12-2025,Delhi,mobile,direct,P095,H&M Black Denim Jeans,Clothing,Jeans,1,1,3649,0.03,109.47,83.97,637.12,4260.62,Net Banking,completed,2090.97,2169.65
ORD0000069,EVT0001482,S000349,U00705,28-12-2025 16:59,28-12-2025,Ahmedabad,desktop,organic_search,P027,Zara Black Cotton Shirt,Clothing,Shirts,3,3,4077,0.06,244.62,73.57,689.83,4595.78,Wallet,completed,2444.82,2150.96
ORD0000070,EVT0001498,S000322,U00440,28-12-2025 17:46,28-12-2025,Chennai,mobile,email,P016,UrbanCo Cookware Set,Home,Kitchen,1,1,8363,0.12,1003.56,99.94,1324.7,8784.08,Debit Card,completed,4351.92,4432.16
ORD0000071,EVT0001521,S000360,U00893,28-12-2025 19:12,28-12-2025,Bengaluru,mobile,direct,P101,H&M Blue Cotton T-Shirt,Clothing,T-Shirts,3,4,7517,0.06,451.02,46.14,1271.88,8384,COD,completed,5104.35,3279.65
ORD0000072,EVT0001540,S000321,U00704,28-12-2025 19:33,28-12-2025,Chennai,mobile,direct,P005,Nivea Face Wash,Beauty,Skincare,2,2,2881,0.03,86.43,121.85,503.02,3419.44,UPI,completed,1909.73,1509.71
ORD0000073,EVT0001583,S000357,U00231,28-12-2025 22:11,28-12-2025,Pune,mobile,social,P015,Nike Dumbbells,Sports,Equipment,2,2,11715,0,0,87.52,2108.7,13911.22,Credit Card,completed,6566.4,7344.82
ORD0000074,EVT0001634,S000374,U00063,29-12-2025 13:14,29-12-2025,Chennai,mobile,paid_ads,P025,Lakme Foundation,Beauty,Makeup,2,3,6138,0.15,920.7,117.69,939.11,6274.1,Wallet,completed,3770.11,2503.99
ORD0000075,EVT0001653,S000387,U00866,29-12-2025 15:15,29-12-2025,Delhi,desktop,organic_search,P036,Nivea Hair Oil,Beauty,Haircare,3,3,3198,0.06,191.88,63.93,541.1,3611.15,Debit Card,completed,2295.43,1315.72
ORD0000076,EVT0001711,S000408,U00094,29-12-2025 17:36,29-12-2025,Bengaluru,mobile,direct,P056,Lakme Shampoo,Beauty,Haircare,1,1,952,0.03,28.56,99.71,166.22,1189.37,Debit Card,completed,744.28,445.09
ORD0000077,EVT0001716,S000394,U00897,29-12-2025 17:51,29-12-2025,Chennai,desktop,paid_ads,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,2,2,3432,0.05,171.6,91.04,586.87,3938.31,Wallet,completed,1915.86,2022.45
ORD0000078,EVT0001724,S000411,U00196,29-12-2025 18:25,29-12-2025,Ahmedabad,tablet,paid_ads,P093,Zara Green Polyester Jeans,Clothing,Jeans,3,3,6913,0.08,553.04,51.15,1144.79,7555.9,UPI,completed,4301.24,3254.66
ORD0000079,EVT0001760,S000389,U00643,29-12-2025 20:52,29-12-2025,Bengaluru,mobile,direct,P039,Puma Track Pants,Sports,Activewear,3,3,10377,0.06,622.62,57.6,1755.79,11567.77,UPI,completed,5818.71,5749.06
ORD0000080,EVT0001789,S000391,U00685,29-12-2025 23:04,29-12-2025,Bengaluru,mobile,direct,P082,H&M Green Denim Jacket,Clothing,Jackets,1,1,3964,0.03,118.92,128.37,692.11,4665.56,COD,completed,3119.07,1546.49
ORD0000081,EVT0001830,S000424,U00470,30-12-2025 13:20,30-12-2025,Bengaluru,mobile,paid_ads,P084,H&M White Polyester Jeans,Clothing,Jeans,3,3,6290,0.13,817.7,42.74,985.01,6500.05,COD,completed,3801.12,2698.93
ORD0000082,EVT0001857,S000431,U00379,30-12-2025 15:34,30-12-2025,Bengaluru,desktop,organic_search,P073,Zara Black Denim Shirt,Clothing,Shirts,1,1,663,0.03,19.89,71.46,115.76,830.33,UPI,completed,426.86,403.47
ORD0000083,EVT0001871,S000455,U00120,30-12-2025 17:04,30-12-2025,Ahmedabad,mobile,organic_search,P082,H&M Green Denim Jacket,Clothing,Jackets,1,1,3964,0,0,147.39,713.52,4824.91,Debit Card,completed,3119.07,1705.84
ORD0000084,EVT0001886,S000412,U00035,30-12-2025 18:08,30-12-2025,Delhi,mobile,direct,P007,Lakme Hair Oil,Beauty,Haircare,3,3,6546,0.08,523.68,66.85,1084.02,7173.19,Credit Card,completed,4073.77,3099.42
ORD0000085,EVT0001896,S000438,U00086,30-12-2025 18:17,30-12-2025,Hyderabad,desktop,organic_search,P126,UrbanCo Wooden Sofa Medium,Home,Furniture,1,1,5133,0.05,256.65,117.76,877.74,5871.85,Net Banking,completed,3630,2241.85
ORD0000086,EVT0001902,S000444,U00251,30-12-2025 18:27,30-12-2025,Hyderabad,mobile,organic_search,P080,Boat Phone Case,Electronics,Accessories,3,3,111090,0.05,5554.5,0,18996.39,124531.89,UPI,completed,59622.91,64908.98
ORD0000087,EVT0001941,S000420,U00761,30-12-2025 19:18,30-12-2025,Mumbai,mobile,organic_search,P014,Nike Track Pants,Sports,Activewear,3,3,14540,0.03,436.2,61.3,2538.68,16703.78,Wallet,completed,9305.42,7398.36
ORD0000088,EVT0001966,S000457,U00451,30-12-2025 20:51,30-12-2025,Hyderabad,mobile,organic_search,P025,Lakme Foundation,Beauty,Makeup,1,1,462,0,0,129.14,83.16,674.3,Debit Card,completed,295.25,379.05
ORD0000089,EVT0001976,S000421,U00108,30-12-2025 21:27,30-12-2025,Pune,mobile,organic_search,P146,H&M Blue Polyester Shirt,Clothing,Shirts,3,3,7970,0.08,637.6,74.68,1319.83,8726.91,UPI,completed,5584.63,3142.28
ORD0000090,EVT0001982,S000447,U00348,30-12-2025 21:39,30-12-2025,Mumbai,mobile,direct,P146,H&M Blue Polyester Shirt,Clothing,Shirts,3,3,4919,0.06,295.14,69.07,832.29,5525.22,Wallet,completed,3448.25,2076.97
ORD0000091,EVT0002004,S000452,U00760,30-12-2025 22:59,30-12-2025,Pune,mobile,direct,P025,Lakme Foundation,Beauty,Makeup,2,2,1339,0,0,76.46,241.02,1656.48,UPI,completed,981.89,674.59
ORD0000092,EVT0002010,S000475,U00806,31-12-2025 08:05,31-12-2025,Ahmedabad,desktop,organic_search,P034,Lakme Lipstick,Beauty,Makeup,2,2,787,0.05,39.35,57.06,134.58,939.29,UPI,completed,482.09,457.2
ORD0000093,EVT0002023,S000497,U00519,31-12-2025 10:51,31-12-2025,Kolkata,mobile,paid_ads,P034,Lakme Lipstick,Beauty,Makeup,2,2,2076,0.05,103.8,90.49,355,2417.69,UPI,completed,1408.53,1009.16
ORD0000094,EVT0002057,S000468,U00710,31-12-2025 16:24,31-12-2025,Pune,mobile,direct,P021,H&M Red Polyester T-Shirt,Clothing,T-Shirts,2,2,1739,0.03,52.17,87.95,303.63,2078.41,Net Banking,completed,1230.67,847.74
ORD0000095,EVT0002132,S000464,U00782,31-12-2025 20:54,31-12-2025,Bengaluru,mobile,social,P036,Nivea Hair Oil,Beauty,Haircare,3,4,3911,0.08,312.88,50.94,647.66,4296.72,UPI,completed,2863.24,1433.48
ORD0000096,EVT0002191,S000540,U00224,01-01-2026 09:36,01-01-2026,Mumbai,tablet,organic_search,P078,Zara Red Polyester Jeans,Clothing,Jeans,3,3,5361,0.06,321.66,40.16,907.08,5986.58,UPI,completed,2861.86,3124.72
ORD0000097,EVT0002211,S000514,U00698,01-01-2026 12:18,01-01-2026,Delhi,mobile,direct,P114,JBL Wireless Earbuds,Electronics,Headphones,2,2,86910,0.07,6083.7,0,14548.73,95375.03,UPI,completed,45303.3,50071.73
ORD0000098,EVT0002259,S000506,U00142,01-01-2026 15:18,01-01-2026,Bengaluru,mobile,direct,P025,Lakme Foundation,Beauty,Makeup,2,2,2213,0.05,110.65,51.7,378.42,2532.47,UPI,completed,1516.94,1015.53
ORD0000099,EVT0002295,S000522,U00004,01-01-2026 17:09,01-01-2026,Delhi,mobile,social,P173,Zara Green Denim T-Shirt,Clothing,T-Shirts,2,3,1995,0.05,99.75,62.57,341.14,2298.96,Credit Card,completed,1320.79,978.17
ORD0000100,EVT0002306,S000520,U00045,01-01-2026 18:32,01-01-2026,Delhi,desktop,social,P012,Nivea Foundation,Beauty,Makeup,1,1,2237,0.05,111.85,81.74,382.53,2589.42,Credit Card,completed,1482.62,1106.8
ORD0000101,EVT0002339,S000517,U00405,01-01-2026 21:38,01-01-2026,Kolkata,mobile,organic_search,P146,H&M Blue Polyester Shirt,Clothing,Shirts,2,2,10204,0.03,306.12,124.2,1781.62,11803.7,Wallet,completed,5791.17,6012.53
ORD0000102,EVT0002344,S000552,U00283,01-01-2026 21:45,01-01-2026,Bengaluru,desktop,organic_search,P188,Adidas Sneakers Size 8,Sports,Shoes,1,1,7253,0,0,96.03,1305.54,8654.57,Debit Card,completed,5242.96,3411.61
ORD0000103,EVT0002411,S000563,U00591,02-01-2026 14:02,02-01-2026,Mumbai,desktop,paid_ads,P155,Adidas Sports T-Shirt,Sports,Activewear,1,1,1397,0.1,139.7,71.42,226.31,1555.03,UPI,completed,763.25,791.78
ORD0000104,EVT0002446,S000587,U00438,02-01-2026 15:56,02-01-2026,Ahmedabad,desktop,organic_search,P041,H&M Green Cotton Jacket,Clothing,Jackets,3,4,9694,0.03,290.82,63.85,1692.57,11159.6,UPI,completed,6185.65,4973.95
ORD0000105,EVT0002458,S000576,U00376,02-01-2026 16:51,02-01-2026,Kolkata,mobile,direct,P066,Puma Running Shoes Size 7,Sports,Shoes,2,2,8341,0,0,95.5,1501.38,9937.88,UPI,completed,4296.63,5641.25
ORD0000106,EVT0002480,S000570,U00697,02-01-2026 18:29,02-01-2026,Delhi,mobile,email,P104,OnePlus Galaxy S21 128GB Black,Electronics,Smartphone,1,1,20198,0.14,2827.72,0,3126.65,20496.93,Debit Card,completed,10278.57,10218.36
ORD0000107,EVT0002540,S000573,U00318,02-01-2026 21:57,02-01-2026,Chennai,desktop,direct,P002,Nike Yoga Mat,Sports,Equipment,2,2,6413,0,0,145.47,1154.34,7712.81,UPI,completed,3474.28,4238.53
ORD0000108,EVT0002548,S000559,U00864,02-01-2026 22:32,02-01-2026,Chennai,mobile,organic_search,P189,H&M Red Polyester Shirt,Clothing,Shirts,1,1,2483,0.03,74.49,106.58,433.53,2948.62,Wallet,completed,1421.51,1527.11
ORD0000109,EVT0002561,S000586,U00150,02-01-2026 23:06,02-01-2026,Delhi,tablet,organic_search,P001,Samsung Charger,Electronics,Accessories,2,2,64636,0.02,1292.72,0,11401.79,74745.07,Debit Card,completed,35483.68,39261.39
ORD0000110,EVT0002578,S000616,U00126,03-01-2026 09:10,03-01-2026,Chennai,mobile,email,P005,Nivea Face Wash,Beauty,Skincare,3,3,3206,0.15,480.9,63.02,490.52,3278.64,UPI,completed,2096.57,1182.07
