order_item_id,order_id,product_id,product_name,category,subcategory,brand,quantity,unit_price,total_price
OI00000071,ORD0000035,P003,Nivea Shampoo,Beauty,Haircare,Nivea,1,201.0,201.0
OI00000072,ORD0000036,P144,UrbanCo Plastic Chair Small,Home,Furniture,UrbanCo,1,6908.0,6908.0
OI00000073,ORD0000036,P126,UrbanCo Wooden Sofa Medium,Home,Furniture,UrbanCo,1,5133.0,5133.0
OI00000074,ORD0000036,P004,UrbanCo Mixer,Home,Kitchen,UrbanCo,1,3983.0,3983.0
OI00000075,ORD0000037,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000076,ORD0000037,P012,Nivea Foundation,Beauty,Makeup,Nivea,1,2237.0,2237.0
OI00000077,ORD0000038,P008,Sony Bluetooth Headphones,Electronics,Headphones,Sony,1,2561.0,2561.0
OI00000078,ORD0000038,P089,Apple Macbook Air 16GB RAM 256GB SSD,Electronics,Laptop,Apple,1,88750.0,88750.0
OI00000079,ORD0000039,P174,Zara Green Polyester T-Shirt,Clothing,T-Shirts,Zara,1,724.0,724.0
OI00000080,ORD0000040,P038,Adidas Running Shoes Size 9,Sports,Shoes,Adidas,1,1414.0,1414.0
OI00000081,ORD0000040,P169,Nike Sneakers Size 10,Sports,Shoes,Nike,1,1381.0,1381.0
OI00000082,ORD0000041,P155,Adidas Sports T-Shirt,Sports,Activewear,Adidas,1,1397.0,1397.0
OI00000083,ORD0000041,P039,Puma Track Pants,Sports,Activewear,Puma,2,1372.0,2744.0
OI00000084,ORD0000041,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,1,4766.0,4766.0
OI00000085,ORD0000042,P025,Lakme Foundation,Beauty,Makeup,Lakme,2,462.0,924.0
OI00000086,ORD0000042,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000087,ORD0000042,P009,Nivea Lipstick,Beauty,Makeup,Nivea,1,2838.0,2838.0
OI00000088,ORD0000043,P179,Zara Black Polyester Shirt,Clothing,Shirts,Zara,2,2943.0,5886.0
OI00000089,ORD0000043,P070,H&M Black Cotton T-Shirt,Clothing,T-Shirts,H&M,1,1277.0,1277.0
OI00000090,ORD0000043,P093,Zara Green Polyester Jeans,Clothing,Jeans,Zara,1,1066.0,1066.0
OI00000091,ORD0000044,P015,Nike Dumbbells,Sports,Equipment,Nike,2,4660.0,9320.0
OI00000092,ORD0000044,P169,Nike Sneakers Size 10,Sports,Shoes,Nike,1,1381.0,1381.0
OI00000093,ORD0000045,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000094,ORD0000046,P183,Nike Sneakers Size 9,Sports,Shoes,Nike,1,1083.0,1083.0
OI00000095,ORD0000046,P054,Adidas Yoga Mat,Sports,Equipment,Adidas,1,5689.0,5689.0
OI00000096,ORD0000047,P197,Puma Sneakers Size 8,Sports,Shoes,Puma,1,6353.0,6353.0
OI00000097,ORD0000047,P002,Nike Yoga Mat,Sports,Equipment,Nike,1,4345.0,4345.0
OI00000098,ORD0000048,P130,Apple G21 128GB Black,Electronics,Smartphone,Apple,1,67400.0,67400.0
OI00000099,ORD0000049,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000100,ORD0000049,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,1,1859.0,1859.0
OI00000101,ORD0000049,P012,Nivea Foundation,Beauty,Makeup,Nivea,1,2237.0,2237.0
OI00000102,ORD0000050,P198,Zara Black Polyester Jeans,Clothing,Jeans,Zara,1,2065.0,2065.0
OI00000103,ORD0000050,P061,H&M Black Polyester Shirt,Clothing,Shirts,H&M,1,1694.0,1694.0
OI00000104,ORD0000050,P163,Zara White Polyester Shirt,Clothing,Shirts,Zara,1,636.0,636.0
OI00000105,ORD0000051,P057,H&M Blue Denim Jeans,Clothing,Jeans,H&M,1,1555.0,1555.0
OI00000106,ORD0000051,P044,H&M White Denim Jacket,Clothing,Jackets,H&M,1,5683.0,5683.0
OI00000107,ORD0000052,P159,Puma Sneakers Size 10,Sports,Shoes,Puma,1,4766.0,4766.0
OI00000108,ORD0000053,P038,Adidas Running Shoes Size 9,Sports,Shoes,Adidas,1,1414.0,1414.0
OI00000109,ORD0000053,P081,Adidas Dumbbells,Sports,Equipment,Adidas,1,5112.0,5112.0
OI00000110,ORD0000053,P188,Adidas Sneakers Size 8,Sports,Shoes,Adidas,1,7253.0,7253.0
OI00000111,ORD0000054,P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,H&M,1,1070.0,1070.0
OI00000112,ORD0000054,P022,H&M Red Cotton Shirt,Clothing,Shirts,H&M,1,2473.0,2473.0
OI00000113,ORD0000054,P035,Zara Red Denim Shirt,Clothing,Shirts,Zara,1,2759.0,2759.0
OI00000114,ORD0000055,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,1,761.0,761.0
OI00000115,ORD0000055,P097,Zara Blue Polyester Jacket,Clothing,Jackets,Zara,1,5366.0,5366.0
OI00000116,ORD0000056,P073,Zara Black Denim Shirt,Clothing,Shirts,Zara,1,663.0,663.0
OI00000117,ORD0000056,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,1,3394.0,3394.0
OI00000118,ORD0000057,P006,UrbanCo Lamp,Home,Decor,UrbanCo,1,2790.0,2790.0
OI00000119,ORD0000058,P040,Samsung Power Bank,Electronics,Accessories,Samsung,1,2575.0,2575.0
OI00000120,ORD0000058,P187,OnePlus 1 64GB Green,Electronics,Smartphone,OnePlus,1,38758.0,38758.0
OI00000121,ORD0000058,P168,Dell Aspire Air 16GB RAM 1TB SSD,Electronics,Laptop,Dell,1,91247.0,91247.0
OI00000122,ORD0000059,P041,H&M Green Cotton Jacket,Clothing,Jackets,H&M,2,7336.0,14672.0
OI00000123,ORD0000059,P189,H&M Red Polyester Shirt,Clothing,Shirts,H&M,1,2483.0,2483.0
OI00000124,ORD0000060,P026,UrbanCo Wall Art,Home,Decor,UrbanCo,1,1607.0,1607.0
OI00000125,ORD0000060,P145,UrbanCo Metal Dining Table Medium,Home,Furniture,UrbanCo,1,26201.0,26201.0
OI00000126,ORD0000060,P024,UrbanCo Metal Chair Small,Home,Furniture,UrbanCo,1,25406.0,25406.0
OI00000127,ORD0000061,P061,H&M Black Polyester Shirt,Clothing,Shirts,H&M,1,1694.0,1694.0
OI00000128,ORD0000062,P040,Samsung Power Bank,Electronics,Accessories,Samsung,1,2575.0,2575.0
OI00000129,ORD0000062,P167,Dell Aspire 8GB RAM 512GB SSD,Electronics,Laptop,Dell,1,62238.0,62238.0
OI00000130,ORD0000062,P069,Apple iPhone 13 128GB Black,Electronics,Smartphone,Apple,1,65851.0,65851.0
OI00000131,ORD0000063,P055,Sony Wireless Earbuds,Electronics,Headphones,Sony,1,3070.0,3070.0
OI00000132,ORD0000064,P034,Lakme Lipstick,Beauty,Makeup,Lakme,1,325.0,325.0
OI00000133,ORD0000064,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000134,ORD0000065,P165,UrbanCo Metal Sofa Large,Home,Furniture,UrbanCo,1,6328.0,6328.0
OI00000135,ORD0000065,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,1,21106.0,21106.0
OI00000136,ORD0000065,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,1,4232.0,4232.0
OI00000137,ORD0000066,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,1,2713.0,2713.0
OI00000138,ORD0000066,P023,Zara White Cotton T-Shirt,Clothing,T-Shirts,Zara,1,474.0,474.0
OI00000139,ORD0000067,P114,JBL Wireless Earbuds,Electronics,Headphones,JBL,1,2898.0,2898.0
OI00000140,ORD0000067,P131,Samsung Galaxy S21 64GB Red,Electronics,Smartphone,Samsung,1,21334.0,21334.0
OI00000141,ORD0000067,P098,HP Air 32GB RAM 512GB SSD,Electronics,Laptop,HP,1,75632.0,75632.0
OI00000142,ORD0000068,P095,H&M Black Denim Jeans,Clothing,Jeans,H&M,1,3649.0,3649.0
OI00000143,ORD0000069,P027,Zara Black Cotton Shirt,Clothing,Shirts,Zara,1,836.0,836.0
OI00000144,ORD0000069,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,1,2480.0,2480.0
OI00000145,ORD0000069,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,1,761.0,761.0
OI00000146,ORD0000070,P016,UrbanCo Cookware Set,Home,Kitchen,UrbanCo,1,8363.0,8363.0
OI00000147,ORD0000071,P101,H&M Blue Cotton T-Shirt,Clothing,T-Shirts,H&M,1,1453.0,1453.0
OI00000148,ORD0000071,P196,Zara White Denim Jacket,Clothing,Jackets,Zara,1,4542.0,4542.0
OI00000149,ORD0000071,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,2,761.0,1522.0
OI00000150,ORD0000072,P005,Nivea Face Wash,Beauty,Skincare,Nivea,1,1130.0,1130.0
OI00000151,ORD0000072,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000152,ORD0000073,P015,Nike Dumbbells,Sports,Equipment,Nike,1,4660.0,4660.0
OI00000153,ORD0000073,P031,Puma Sneakers Size 7,Sports,Shoes,Puma,1,7055.0,7055.0
OI00000154,ORD0000074,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000155,ORD0000074,P009,Nivea Lipstick,Beauty,Makeup,Nivea,2,2838.0,5676.0
OI00000156,ORD0000075,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,1,877.0,877.0
OI00000157,ORD0000075,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,1,1859.0,1859.0
OI00000158,ORD0000075,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000159,ORD0000076,P056,Lakme Shampoo,Beauty,Haircare,Lakme,1,952.0,952.0
OI00000160,ORD0000077,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,1,1174.0,1174.0
OI00000161,ORD0000077,P192,Zara Black Cotton Jacket,Clothing,Jackets,Zara,1,2258.0,2258.0
OI00000162,ORD0000078,P093,Zara Green Polyester Jeans,Clothing,Jeans,Zara,1,1066.0,1066.0
OI00000163,ORD0000078,P193,H&M Red Cotton Jeans,Clothing,Jeans,H&M,1,1646.0,1646.0
OI00000164,ORD0000078,P111,Zara Blue Cotton Jacket,Clothing,Jackets,Zara,1,4201.0,4201.0
OI00000165,ORD0000079,P039,Puma Track Pants,Sports,Activewear,Puma,1,1372.0,1372.0
OI00000166,ORD0000079,P002,Nike Yoga Mat,Sports,Equipment,Nike,1,4345.0,4345.0
OI00000167,ORD0000079,P015,Nike Dumbbells,Sports,Equipment,Nike,1,4660.0,4660.0
OI00000168,ORD0000080,P082,H&M Green Denim Jacket,Clothing,Jackets,H&M,1,3964.0,3964.0
OI00000169,ORD0000081,P084,H&M White Polyester Jeans,Clothing,Jeans,H&M,1,2041.0,2041.0
OI00000170,ORD0000081,P182,Zara Blue Cotton Shirt,Clothing,Shirts,Zara,1,1991.0,1991.0
OI00000171,ORD0000081,P192,Zara Black Cotton Jacket,Clothing,Jackets,Zara,1,2258.0,2258.0
OI00000172,ORD0000082,P073,Zara Black Denim Shirt,Clothing,Shirts,Zara,1,663.0,663.0
OI00000173,ORD0000083,P082,H&M Green Denim Jacket,Clothing,Jackets,H&M,1,3964.0,3964.0
OI00000174,ORD0000084,P007,Lakme Hair Oil,Beauty,Haircare,Lakme,1,1471.0,1471.0
OI00000175,ORD0000084,P009,Nivea Lipstick,Beauty,Makeup,Nivea,1,2838.0,2838.0
OI00000176,ORD0000084,P012,Nivea Foundation,Beauty,Makeup,Nivea,1,2237.0,2237.0
OI00000177,ORD0000085,P126,UrbanCo Wooden Sofa Medium,Home,Furniture,UrbanCo,1,5133.0,5133.0
OI00000178,ORD0000086,P080,Boat Phone Case,Electronics,Accessories,Boat,1,1006.0,1006.0
OI00000179,ORD0000086,P131,Samsung Galaxy S21 64GB Red,Electronics,Smartphone,Samsung,1,21334.0,21334.0
OI00000180,ORD0000086,P089,Apple Macbook Air 16GB RAM 256GB SSD,Electronics,Laptop,Apple,1,88750.0,88750.0
OI00000181,ORD0000087,P014,Nike Track Pants,Sports,Activewear,Nike,1,1075.0,1075.0
OI00000182,ORD0000087,P031,Puma Sneakers Size 7,Sports,Shoes,Puma,1,7055.0,7055.0
OI00000183,ORD0000087,P045,Puma Running Shoes Size 10,Sports,Shoes,Puma,1,6410.0,6410.0
OI00000184,ORD0000088,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000185,ORD0000089,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,1,2713.0,2713.0
OI00000186,ORD0000089,P129,H&M Black Denim Jacket,Clothing,Jackets,H&M,1,4451.0,4451.0
OI00000187,ORD0000089,P106,H&M Green Polyester T-Shirt,Clothing,T-Shirts,H&M,1,806.0,806.0
OI00000188,ORD0000090,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,1,2713.0,2713.0
OI00000189,ORD0000090,P140,Zara Red Denim T-Shirt,Clothing,T-Shirts,Zara,1,914.0,914.0
OI00000190,ORD0000090,P133,H&M Green Polyester Jeans,Clothing,Jeans,H&M,1,1292.0,1292.0
OI00000191,ORD0000091,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000192,ORD0000091,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,1,877.0,877.0
OI00000193,ORD0000092,P034,Lakme Lipstick,Beauty,Makeup,Lakme,1,325.0,325.0
OI00000194,ORD0000092,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000195,ORD0000093,P034,Lakme Lipstick,Beauty,Makeup,Lakme,1,325.0,325.0
OI00000196,ORD0000093,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000197,ORD0000094,P021,H&M Red Polyester T-Shirt,Clothing,T-Shirts,H&M,1,370.0,370.0
OI00000198,ORD0000094,P136,Zara Red Cotton Shirt,Clothing,Shirts,Zara,1,1369.0,1369.0
OI00000199,ORD0000095,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,1,877.0,877.0
OI00000200,ORD0000095,P005,Nivea Face Wash,Beauty,Skincare,Nivea,1,1130.0,1130.0
OI00000201,ORD0000095,P056,Lakme Shampoo,Beauty,Haircare,Lakme,2,952.0,1904.0
OI00000202,ORD0000096,P078,Zara Red Polyester Jeans,Clothing,Jeans,Zara,1,2265.0,2265.0
OI00000203,ORD0000096,P107,Zara Black Polyester T-Shirt,Clothing,T-Shirts,Zara,1,616.0,616.0
OI00000204,ORD0000096,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,1,2480.0,2480.0
OI00000205,ORD0000097,P114,JBL Wireless Earbuds,Electronics,Headphones,JBL,1,2898.0,2898.0
OI00000206,ORD0000097,P030,Apple MacBook M2 8GB RAM 512GB SSD,Electronics,Laptop,Apple,1,84012.0,84012.0
OI00000207,ORD0000098,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000208,ORD0000098,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000209,ORD0000099,P173,Zara Green Denim T-Shirt,Clothing,T-Shirts,Zara,2,473.0,946.0
OI00000210,ORD0000099,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,1,761.0,761.0
OI00000211,ORD0000100,P012,Nivea Foundation,Beauty,Makeup,Nivea,1,2237.0,2237.0
OI00000212,ORD0000101,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,1,2713.0,2713.0
OI00000213,ORD0000101,P149,Zara Blue Denim Jacket,Clothing,Jackets,Zara,1,7491.0,7491.0
OI00000214,ORD0000102,P188,Adidas Sneakers Size 8,Sports,Shoes,Adidas,1,7253.0,7253.0
OI00000215,ORD0000103,P155,Adidas Sports T-Shirt,Sports,Activewear,Adidas,1,1397.0,1397.0
OI00000216,ORD0000104,P041,H&M Green Cotton Jacket,Clothing,Jackets,H&M,2,7336.0,14672.0
OI00000217,ORD0000104,P027,Zara Black Cotton Shirt,Clothing,Shirts,Zara,1,836.0,836.0
OI00000218,ORD0000104,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,1,761.0,761.0
OI00000219,ORD0000105,P066,Puma Running Shoes Size 7,Sports,Shoes,Puma,1,6273.0,6273.0
OI00000220,ORD0000105,P029,Adidas Running Shoes Size 8,Sports,Shoes,Adidas,1,2068.0,2068.0
OI00000221,ORD0000106,P104,OnePlus Galaxy S21 128GB Black,Electronics,Smartphone,OnePlus,1,20198.0,20198.0
OI00000222,ORD0000107,P002,Nike Yoga Mat,Sports,Equipment,Nike,1,4345.0,4345.0
OI00000223,ORD0000107,P029,Adidas Running Shoes Size 8,Sports,Shoes,Adidas,1,2068.0,2068.0
OI00000224,ORD0000108,P189,H&M Red Polyester Shirt,Clothing,Shirts,H&M,1,2483.0,2483.0
OI00000225,ORD0000109,P001,Samsung Charger,Electronics,Accessories,Samsung,1,1356.0,1356.0
OI00000226,ORD0000109,P083,OnePlus 3 128GB White,Electronics,Smartphone,OnePlus,1,63280.0,63280.0
OI00000227,ORD0000110,P005,Nivea Face Wash,Beauty,Skincare,Nivea,1,1130.0,1130.0
OI00000228,ORD0000110,P034,Lakme Lipstick,Beauty,Makeup,Lakme,1,325.0,325.0
OI00000229,ORD0000110,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000230,ORD0000111,P020,Puma Yoga Mat,Sports,Equipment,Puma,1,12458.0,12458.0
OI00000231,ORD0000111,P014,Nike Track Pants,Sports,Activewear,Nike,1,1075.0,1075.0
OI00000232,ORD0000111,P169,Nike Sneakers Size 10,Sports,Shoes,Nike,1,1381.0,1381.0
OI00000233,ORD0000112,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,1,1859.0,1859.0
OI00000234,ORD0000113,P011,UrbanCo Wooden Sofa Small,Home,Furniture,UrbanCo,1,26505.0,26505.0
OI00000235,ORD0000113,P109,UrbanCo Plastic Chair Large,Home,Furniture,UrbanCo,1,29504.0,29504.0
OI00000236,ORD0000113,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,1,21106.0,21106.0
OI00000237,ORD0000114,P121,UrbanCo Plastic Sofa Large,Home,Furniture,UrbanCo,1,21106.0,21106.0
OI00000238,ORD0000115,P189,H&M Red Polyester Shirt,Clothing,Shirts,H&M,1,2483.0,2483.0
OI00000239,ORD0000115,P137,H&M Red Denim T-Shirt,Clothing,T-Shirts,H&M,1,1174.0,1174.0
OI00000240,ORD0000116,P055,Sony Wireless Earbuds,Electronics,Headphones,Sony,1,3070.0,3070.0
OI00000241,ORD0000117,P046,Nike Running Shoes Size 8,Sports,Shoes,Nike,1,5354.0,5354.0
OI00000242,ORD0000117,P002,Nike Yoga Mat,Sports,Equipment,Nike,1,4345.0,4345.0
OI00000243,ORD0000118,P035,Zara Red Denim Shirt,Clothing,Shirts,Zara,1,2759.0,2759.0
OI00000244,ORD0000118,P196,Zara White Denim Jacket,Clothing,Jackets,Zara,1,4542.0,4542.0
OI00000245,ORD0000119,P117,Nike Running Shoes Size 10,Sports,Shoes,Nike,1,5153.0,5153.0
OI00000246,ORD0000120,P064,Zara White Denim Shirt,Clothing,Shirts,Zara,1,2244.0,2244.0
OI00000247,ORD0000120,P163,Zara White Polyester Shirt,Clothing,Shirts,Zara,1,636.0,636.0
OI00000248,ORD0000121,P056,Lakme Shampoo,Beauty,Haircare,Lakme,1,952.0,952.0
OI00000249,ORD0000121,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,1,1859.0,1859.0
OI00000250,ORD0000122,P050,H&M Green Cotton Jeans,Clothing,Jeans,H&M,1,2713.0,2713.0
OI00000251,ORD0000123,P176,Apple Mac Air 16GB RAM 256GB SSD,Electronics,Laptop,Apple,1,71910.0,71910.0
OI00000252,ORD0000124,P086,Boat Power Bank,Electronics,Accessories,Boat,1,732.0,732.0
